date;value
2021-04-27;7860
2021-04-27;7790
2021-04-28;7880
2021-04-28;7920
2021-04-28;8260
2021-04-28;8280
2021-04-29;8280
2021-04-29;8320
2021-04-29;8500
2021-04-29;8540
2021-04-29;8540
2021-04-29;8540
2021-04-30;8630
2021-04-30;8630
2021-04-30;8630
2021-04-30;13330
2021-04-30;8730
2021-04-30;8730
2021-04-30;8920
2021-04-30;8940
2021-04-30;8940
2021-01-05;170
2021-01-05;250
2021-01-05;330
2021-01-05;370
2021-01-05;390
2021-01-05;390
2021-01-05;390
2021-01-05;390
2021-03-05;430
2021-03-05;470
2021-03-05;650
2021-03-05;870
2021-03-05;930
2021-04-05;970
2021-04-05;1040
2021-05-05;1040
2021-05-05;1130
2021-05-05;1280
2021-06-05;1400
2021-06-05;1400
2021-06-05;1400
2021-06-05;1490
2021-06-05;1510
2021-06-05;1540
2021-06-05;1560
2021-07-05;2220
2021-08-05;2400
2021-08-05;2800
2021-08-05;2800
2021-10-05;2800
2021-10-05;2840
2021-10-05;2900
2021-10-05;2900
2021-11-05;3120
2021-11-05;3270
2021-11-05;3310
2021-11-05;3310
2021-11-05;3410
2021-11-05;3410
2021-11-05;3410
2021-11-05;3450
2021-12-05;3450
2021-12-05;3640
2021-12-05;3640
2021-12-05;3680
2021-12-05;3680
2021-12-05;3710
2021-12-05;3710
2021-05-13;3920
2021-05-13;4100
2021-05-13;4100
2021-05-14;4350
2021-05-14;4390
2021-05-14;4550
2021-05-14;4550
2021-05-15;4860
2021-05-15;5010
2021-05-15;5070
2021-05-15;5090
2021-05-17;5090
2021-05-17;5140
2021-05-17;5220
2021-05-17;5220
2021-05-17;5350
2021-05-17;5350
2021-05-17;5350
2021-05-17;5380
2021-05-18;5390
2021-05-18;5430
2021-05-18;5450
2021-05-18;5670
2021-05-19;5670
2021-05-19;5710
2021-05-19;5730
2021-05-19;5730
2021-05-19;5880
2021-05-20;6215
2021-05-20;6295
2021-05-20;6365
2021-05-20;6365
2021-05-21;6365
2021-05-21;6445
2021-05-22;6485
2021-05-22;6855
2021-05-24;6855
2021-05-24;6905
2021-05-24;7165
2021-05-24;7165
2021-05-24;7295
2021-05-24;7335
2021-05-25;7495
2021-05-25;7495
2021-05-25;7615
2021-05-25;7745
2021-05-25;7775
2021-05-25;7775
2021-05-26;7875
2021-05-26;7895
2021-05-26;7935
2021-05-26;8940
2021-05-26;7935
2021-05-26;7935
2021-05-26;7985
2021-05-26;8025
2021-05-26;8045
2021-05-27;8175
2021-05-27;8195
2021-05-27;8195
2021-05-27;8215
2021-05-27;8265
2021-05-27;8265
2021-05-28;8345
2021-05-28;8395
2021-05-28;8940
2021-05-28;8395
2021-05-28;8395
2021-05-29;8475
2021-05-29;8615
2021-05-29;8685
2021-05-29;8725
2021-05-29;8825
2021-05-29;8875
2021-05-29;8875
2021-05-29;8940
2021-05-29;8940
2021-05-31;8875
2021-05-31;9075
2021-05-31;9115
2021-05-31;9115
2021-05-31;9115
2021-05-31;9185
2021-05-31;9185
2021-01-06;120
2021-02-06;340
2021-02-06;460
2021-02-06;520
2021-04-06;560
2021-04-06;620
2021-04-06;620
2021-04-06;740
2021-04-06;860
2021-04-06;9185
2021-04-06;900
2021-05-06;970
2021-05-06;1090
2021-05-06;1210
2021-05-06;9185
2021-05-06;1300
2021-07-06;1340
2021-08-06;1420
2021-09-06;1550
2021-09-06;1630
2021-09-06;1630
2021-09-06;1670
2021-10-06;1820
2021-10-06;1820
2021-10-06;1820
2021-10-06;7964
2021-10-06;9510
2021-10-06;6805
2021-10-06;8940
2021-10-06;9185
2021-10-06;10796
2021-10-06;11112
2021-10-06;12852
2021-10-06;12579
2021-10-06;13330
2021-10-06;1820
2021-10-06;11112
2021-11-06;2120
2021-11-06;2510
2021-06-14;3280
2021-06-14;3430
2021-06-14;3470
2021-06-14;3540
2021-06-14;3540
2021-06-15;3800
2021-06-15;3900
2021-06-16;4180
2021-06-16;4180
2021-06-17;4480
2021-06-17;4520
2021-06-17;4690
2021-06-18;4900
2021-06-18;5010
2021-06-18;5070
2021-06-19;5190
2021-06-19;5220
2021-06-19;5540
2021-06-21;5880
2021-06-22;6220
2021-06-22;6220
2021-06-22;6320
2021-06-23;6360
2021-06-23;6410
2021-06-23;6600
2021-06-24;6620
2021-06-24;6790
2021-06-25;6950
2021-06-25;7110
2021-06-26;7160
2021-06-28;7415
2021-06-28;7515
2021-06-28;7535
2021-06-28;7555
2021-06-28;7575
2021-06-29;7755
2021-06-29;7755
2021-06-29;7755
2021-06-29;7775
2021-06-29;7875
2021-06-30;7875
2021-06-30;8045
2021-06-30;8045
2021-06-30;8105
2021-06-30;8105
2021-06-30;8105
2021-06-30;8105
2021-01-07;390
2021-02-07;8105
2021-02-07;580
2021-02-07;580
2021-02-07;850
2021-02-07;950
2021-02-07;950
2021-03-07;1280
2021-03-07;1680
2021-05-07;1780
2021-05-07;1780
2021-05-07;1860
2021-05-07;2010
2021-05-07;2030
2021-06-07;2070
2021-06-07;2160
2021-06-07;2290
2021-06-07;2410
2021-06-07;2430
2021-06-07;2430
2021-07-07;2830
2021-08-07;3000
2021-08-07;3140
2021-08-07;3200
2021-08-07;3200
2021-08-07;3240
2021-08-07;3290
2021-09-07;3730
2021-09-07;3730
2021-09-07;3770
2021-09-07;3770
