DATA DE FECHAMENTO;MÊS;ANO;VALOR
30/09/2020 00:00;7;20;10374
30/09/2020 00:00;8;20;13330
30/09/2020 00:00;9;20;12579
30/09/2020 00:00;4;20;5605
30/09/2020 00:00;5;20;7365
30/09/2020 00:00;6;20;7320
30/09/2020 00:00;7;20;10374
30/09/2020 00:00;8;20;13330
30/09/2020 00:00;9;20;12579
02/10/2020 00:00;9;20;12579
02/10/2020 00:00;10;20;410
05/10/2020 00:00;10;20;920
05/10/2020 00:00;10;20;920
07/10/2020 00:00;10;20;0
07/10/2020 00:00;10;20;0
07/10/2020 00:00;10;20;2050
08/10/2020 00:00;10;20;2460
09/10/2020 00:00;10;20;3330
09/10/2020 00:00;10;20;3470
09/10/2020 00:00;10;20;3470
09/10/2020 00:00;10;20;3470
09/10/2020 00:00;10;20;3470
09/10/2020 00:00;10;20;3470
09/10/2020 00:00;10;20;3470
10/10/2020 00:00;10;20;4200
10/10/2020 00:00;10;20;4630
12/10/2020 00:00;10;20;4900
12/10/2020 00:00;20;20;0
12/10/2020 00:00;20;20;0
12/10/2020 00:00;10;20;4920
13/10/2020 00:00;10;20;4920
13/10/2020 00:00;10;20;4920
13/10/2020 00:00;10;20;5220
13/10/2020 00:00;10;20;5260
13/10/2020 00:00;10;20;5360
13/10/2020 00:00;10;20;5380
13/10/2020 00:00;10;20;5380
13/10/2020 00:00;10;20;5450
13/10/2020 00:00;8;20;13330
13/10/2020 00:00;9;20;12579
13/10/2020 00:00;7;20;10374
13/10/2020 00:00;6;20;7320
13/10/2020 00:00;10;20;5450
13/10/2020 00:00;10;20;5450
14/10/2020 00:00;10;20;5490
14/10/2020 00:00;10;20;5650
14/10/2020 00:00;10;20;5770
15/10/2020 00:00;10;20;5970
15/10/2020 00:00;10;20;6060
15/10/2020 00:00;10;20;6290
16/10/2020 00:00;10;20;6670
16/10/2020 00:00;10;20;6710
17/10/2020 00:00;10;20;7620
19/10/2020 00:00;10;20;7930
19/10/2020 00:00;10;20;8090
19/10/2020 00:00;10;20;8090
19/10/2020 00:00;10;20;8410
20/10/2020 00:00;10;20;8480
20/10/2020 00:00;10;20;8580
20/10/2020 00:00;10;20;8600
20/10/2020 00:00;10;20;8630
20/10/2020 00:00;10;20;8790
21/10/2020 00:00;10;20;8930
21/10/2020 00:00;10;20;8990
21/10/2020 00:00;10;20;8990
21/10/2020 00:00;10;20;9030
21/10/2020 00:00;10;20;9100
21/10/2020 00:00;10;20;9140
21/10/2020 00:00;10;20;9140
21/10/2020 00:00;10;20;9180
22/10/2020 00:00;10;20;9200
22/10/2020 00:00;10;20;9340
22/10/2020 00:00;10;20;9340
22/10/2020 00:00;10;20;9340
22/10/2020 00:00;10;20;9340
23/10/2020 00:00;10;20;9700
23/10/2020 00:00;10;20;9740
24/10/2020 00:00;10;20;10550
26/10/2020 00:00;10;20;10740
26/10/2020 00:00;9;20;12579
26/10/2020 00:00;10;20;10740
26/10/2020 00:00;10;20;10780
26/10/2020 00:00;10;20;10800
27/10/2020 00:00;10;20;10850
27/10/2020 00:00;10;20;10900
27/10/2020 00:00;10;20;10920
27/10/2020 00:00;10;20;10960
27/10/2020 00:00;10;20;11010
27/10/2020 00:00;10;20;11010
28/10/2020 00:00;10;20;11172
28/10/2020 00:00;10;20;11192
28/10/2020 00:00;10;20;11212
28/10/2020 00:00;10;20;11212
28/10/2020 00:00;10;20;11212
28/10/2020 00:00;10;20;11212
29/10/2020 00:00;10;20;11322
29/10/2020 00:00;10;20;11322
29/10/2020 00:00;10;20;11322
29/10/2020 00:00;10;20;11322
29/10/2020 00:00;10;20;11322
29/10/2020 00:00;10;20;11402
29/10/2020 00:00;10;20;11482
29/10/2020 00:00;10;20;11482
29/10/2020 00:00;10;20;11502
29/10/2020 00:00;10;20;11552
29/10/2020 00:00;10;20;11572
30/10/2020 00:00;10;20;11872
30/10/2020 00:00;10;20;12122
30/10/2020 00:00;10;20;12162
31/10/2020 00:00;10;20;12342
31/10/2020 00:00;10;20;12402
31/10/2020 00:00;10;20;12762
31/10/2020 00:00;10;20;12762
03/11/2020 00:00;11;20;460
04/11/2020 00:00;11;20;840
04/11/2020 00:00;10;20;12762
05/11/2020 00:00;;;0
05/11/2020 00:00;;;0
05/11/2020 00:00;;;0
05/11/2020 00:00;10;20;12762
05/11/2020 00:00;11;20;1370
06/11/2020 00:00;11;20;1490
06/11/2020 00:00;11;20;2150
07/11/2020 00:00;11;20;2360
07/11/2020 00:00;11;20;2490
07/11/2020 00:00;11;20;2570
07/11/2020 00:00;11;20;2650
09/11/2020 00:00;11;20;2670
09/11/2020 00:00;11;20;2790
10/11/2020 00:00;11;20;3140
10/11/2020 00:00;11;20;3160
10/11/2020 00:00;11;20;3220
10/11/2020 00:00;11;20;3240
10/11/2020 00:00;11;20;3390
10/11/2020 00:00;10;20;12762
10/11/2020 00:00;10;20;12762
10/11/2020 00:00;10;20;12762
11/11/2020 00:00;11;20;3650
11/11/2020 00:00;11;20;3710
11/11/2020 00:00;11;20;3780
11/11/2020 00:00;11;20;3780
12/11/2020 00:00;11;20;3880
12/11/2020 00:00;11;20;3940
12/11/2020 00:00;11;20;3960
12/11/2020 00:00;11;20;4160
12/11/2020 00:00;11;2020;0
12/11/2020 00:00;11;2020;0
12/11/2020 00:00;11;20;4250
13/11/2020 00:00;13;20;0
13/11/2020 00:00;11;20;4982
14/11/2020 00:00;11;20;5622
16/11/2020 00:00;11;20;5842
16/11/2020 00:00;11;20;5842
16/11/2020 00:00;11;20;6022
16/11/2020 00:00;11;20;6062
16/11/2020 00:00;11;20;6062
17/11/2020 00:00;;;0
17/11/2020 00:00;;;0
17/11/2020 00:00;11;20;6242
18/11/2020 00:00;11;20;6642
18/11/2020 00:00;11;20;6812
18/11/2020 00:00;11;20;7062
18/11/2020 00:00;11;20;7102
19/11/2020 00:00;11;20;7302
19/11/2020 00:00;11;20;7302
19/11/2020 00:00;11;20;7482
19/11/2020 00:00;11;20;7562
19/11/2020 00:00;10;20;12762
19/11/2020 00:00;11;20;7632
19/11/2020 00:00;11;20;7632
20/11/2020 00:00;11;20;7692
20/11/2020 00:00;11;20;7742
21/11/2020 00:00;11;20;8302
23/11/2020 00:00;11;20;9122
23/11/2020 00:00;11;20;9162
23/11/2020 00:00;11;20;9402
23/11/2020 00:00;11;20;9652
23/11/2020 00:00;11;20;9672
23/11/2020 00:00;11;20;9672
24/11/2020 00:00;11;20;9672
24/11/2020 00:00;11;20;9772
